date,q_cms
31/01/1981,9.245903225806451
28/02/1981,13.817785714285716
31/03/1981,15.689758064516129
30/04/1981,7.4049
31/05/1981,2.889290322580645
30/06/1981,2.52585
31/07/1981,2.3315806451612904
31/08/1981,2.2646612903225805
30/09/1981,2.3770499999999997
31/10/1981,2.9223387096774194
30/11/1981,3.7758
31/12/1981,5.161258064516129
31/01/1982,25.68532258064516
28/02/1982,5.4111964285714285
31/03/1982,10.644677419354839
30/04/1982,6.1909
31/05/1982,2.477467741935484
30/06/1982,2.2047999999999996
31/07/1982,2.0864516129032262
31/08/1982,1.9687258064516129
30/09/1982,2.08625
31/10/1982,2.3373870967741937
30/11/1982,5.4937000000000005
31/12/1982,5.947403225806452
31/01/1983,4.9554193548387095
28/02/1983,9.035357142857142
31/03/1983,4.651596774193548
30/04/1983,3.95615
31/05/1983,2.0118870967741933
30/06/1983,1.6143
31/07/1983,1.5768870967741935
31/08/1983,1.6001612903225808
30/09/1983,1.67015
31/10/1983,1.7517580645161293
30/11/1983,1.48125
31/12/1983,2.5994516129032257
31/01/1984,30.95158064516129
29/02/1984,61.845103448275864
31/03/1984,29.32190322580645
30/04/1984,14.4673
31/05/1984,3.7178709677419355
30/06/1984,2.9583500000000003
31/07/1984,2.4041129032258066
31/08/1984,2.900032258064516
30/09/1984,3.1114
31/10/1984,2.9748870967741934
30/11/1984,4.68505
31/12/1984,4.319854838709678
31/01/1985,19.29435
28/02/1985,14.718803571428571
31/03/1985,13.333983870967742
30/04/1985,11.3577
31/05/1985,6.138677419354839
30/06/1985,3.71405
31/07/1985,3.0153499999999998
31/08/1985,2.904
30/09/1985,3.375
31/10/1985,2.389983870967742
30/11/1985,8.92085
31/12/1985,18.352258064516132
31/01/1986,53.4843870967742
28/02/1986,43.53894642857143
31/03/1986,29.746983870967743
30/04/1986,15.9634
31/05/1986,9.341709677419356
30/06/1986,3.74
31/07/1986,3.134370967741935
31/08/1986,2.9407741935483873
30/09/1986,3.00395
31/10/1986,2.568677419354839
30/11/1986,2.89705
31/12/1986,13.995145161290324
31/01/1987,44.0623064516129
28/02/1987,10.66044642857143
31/03/1987,5.357467741935484
30/04/1987,4.08915
31/05/1987,2.5320483870967743
30/06/1987,2.62135
31/07/1987,2.5394
31/08/1987,2.252758064516129
30/09/1987,2.4585999999999997
31/10/1987,3.040935483870968
30/11/1987,3.0112499999999995
31/12/1987,4.683532258064516
31/01/1988,8.760725806451612
29/02/1988,10.285706896551725
31/03/1988,21.237435483870968
30/04/1988,30.51505
31/05/1988,4.453064516129031
30/06/1988,2.7529
31/07/1988,2.3124677419354835
31/08/1988,2.144225806451613
30/09/1988,2.0026
31/10/1988,1.7426129032258064
30/11/1988,1.61135
31/12/1988,1.8293225806451614
31/01/1989,6.2153709677419355
28/02/1989,4.130999999999999
31/03/1989,4.922564516129032
30/04/1989,3.72175
31/05/1989,1.8450483870967742
30/06/1989,1.78075
31/07/1989,1.7289677419354839
31/08/1989,1.518
30/09/1989,1.40185
31/10/1989,1.2970645161290324
30/11/1989,1.3792
31/12/1989,1.9661612903225807
31/01/1990,10.263290322580646
28/02/1990,6.171482142857143
31/03/1990,2.255516129032258
30/04/1990,2.0036
31/05/1990,2.072516129032258
30/06/1990,2.5414000000000003
31/07/1990,1.7435806451612903
31/08/1990,1.6395483870967742
30/09/1990,1.7847
31/10/1990,1.8276290322580646
30/11/1990,3.6608499999999995
31/12/1990,5.175580645161291
31/01/1991,9.93245
28/02/1991,8.46942857142857
31/03/1991,12.216725806451613
30/04/1991,3.8145499999999997
31/05/1991,2.365209677419355
30/06/1991,2.12755
31/07/1991,1.8652741935483872
31/08/1991,1.8265645161290323
30/09/1991,2.0617
31/10/1991,1.948983870967742
30/11/1991,2.2165000000000004
31/12/1991,2.104258064516129
31/01/1992,17.64774193548387
29/02/1992,6.865706896551725
31/03/1992,4.6246451612903225
30/04/1992,1.953
31/05/1992,1.6825161290322581
30/06/1992,1.6172499999999999
31/07/1992,1.623241935483871
31/08/1992,1.6818870967741935
30/09/1992,1.4436
31/10/1992,1.8613064516129032
30/11/1992,2.4854
31/12/1992,2.7902419354838712
31/01/1993,17.100145161290325
28/02/1993,6.327428571428571
31/03/1993,7.09408064516129
30/04/1993,4.13185
31/05/1993,2.345032258064516
30/06/1993,2.09495
31/07/1993,2.0006129032258064
31/08/1993,2.0170645161290324
30/09/1993,1.8618
31/10/1993,1.978016129032258
30/11/1993,3.7632
31/12/1993,9.622790322580647
31/01/1994,12.515564516129032
28/02/1994,15.357642857142858
31/03/1994,7.401725806451613
30/04/1994,4.4662
31/05/1994,2.2288548387096774
30/06/1994,1.6545999999999998
31/07/1994,1.5030483870967741
31/08/1994,1.4031290322580645
30/09/1994,1.33525
31/10/1994,1.3245
30/11/1994,2.30295
31/12/1994,2.1529354838709676
31/01/1995,7.393983870967742
28/02/1995,5.0567142857142855
31/03/1995,5.616677419354838
30/04/1995,3.2969999999999997
31/05/1995,2.636467741935484
30/06/1995,2.1736999999999997
31/07/1995,1.6845
31/08/1995,1.418758064516129
30/09/1995,1.40185
31/10/1995,1.3213064516129034
30/11/1995,1.6294
31/12/1995,4.290338709677419
31/01/1996,16.37816129032258
29/02/1996,10.762293103448275
31/03/1996,3.5392741935483873
30/04/1996,4.01915
31/05/1996,1.694758064516129
30/06/1996,1.3323
31/07/1996,1.3915161290322582
31/08/1996,1.3039354838709678
30/09/1996,2.2571666666666665
31/10/1996,1.664785714285714
30/11/1996,1.8333000000000002
31/12/1996,2.3931290322580643
31/01/1997,41.70179032258064
