
------------------------------------------------------------------------------
Elevation report for the watershed      24 February 2025 20.50

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3812
  Maximum elevation: 5595
     Mean elevation: 4035.18
 Standard deviation: 226.04

              Elevation          % area up to elevation    % area of watershed
                4030                    64.54                     0.16
                4031                    64.70                     0.16
                4032                    64.86                     0.16
                4033                    65.03                     0.17
                4034                    65.18                     0.15
                4035                    65.34                     0.16
                4036                    65.50                     0.17
                4037                    65.67                     0.16
                4038                    65.83                     0.16
                4039                    65.98                     0.16
                4040                    66.15                     0.16
                4041                    66.30                     0.15
                4042                    66.47                     0.17
                4043                    66.62                     0.15
                4044                    66.75                     0.13
                4045                    66.90                     0.15
                4046                    67.05                     0.15
                4047                    67.21                     0.15
                4048                    67.36                     0.15
                4049                    67.50                     0.14
                4050                    67.63                     0.13
                4051                    67.78                     0.15
                4052                    67.93                     0.15
                4053                    68.07                     0.15
                4054                    68.23                     0.15
                4055                    68.38                     0.15
                4056                    68.53                     0.15
                4057                    68.67                     0.14
                4058                    68.82                     0.15
                4059                    68.96                     0.15
                4060                    69.11                     0.15
                4061                    69.25                     0.13
                4062                    69.39                     0.14
                4063                    69.54                     0.15
                4064                    69.68                     0.15
                4065                    69.84                     0.15
                4066                    69.98                     0.14
                4067                    70.13                     0.15
                4068                    70.28                     0.15
                4069                    70.43                     0.15
                4070                    70.57                     0.14
                4071                    70.72                     0.15
                4072                    70.85                     0.14
                4073                    70.99                     0.14
                4074                    71.14                     0.14
                4075                    71.28                     0.14
                4076                    71.42                     0.14
                4077                    71.55                     0.13
                4078                    71.69                     0.13
                4079                    71.82                     0.13
                4080                    71.96                     0.14
                4081                    72.09                     0.13
                4082                    72.23                     0.13
                4083                    72.37                     0.14
                4084                    72.50                     0.13
                4085                    72.62                     0.12
                4086                    72.75                     0.13
                4087                    72.88                     0.13
                4088                    73.02                     0.13
                4089                    73.14                     0.12
                4090                    73.27                     0.13
                4091                    73.40                     0.13
                4092                    73.52                     0.12
                4093                    73.65                     0.12
                4094                    73.78                     0.14
                4095                    73.90                     0.12
                4096                    74.03                     0.12
                4097                    74.15                     0.13
                4098                    74.27                     0.12
                4099                    74.39                     0.12
                4100                    74.51                     0.12
                4101                    74.64                     0.12
                4102                    74.75                     0.12
                4103                    74.86                     0.11
                4104                    74.99                     0.13
                4105                    75.11                     0.12
                4106                    75.23                     0.12
                4107                    75.35                     0.12
                4108                    75.47                     0.12
                4109                    75.58                     0.11
                4110                    75.68                     0.10
                4111                    75.81                     0.13
                4112                    75.92                     0.11
                4113                    76.03                     0.11
                4114                    76.13                     0.10
                4115                    76.24                     0.10
                4116                    76.35                     0.11
                4117                    76.46                     0.12
                4118                    76.57                     0.11
                4119                    76.68                     0.11
                4120                    76.78                     0.10
                4121                    76.88                     0.10
                4122                    76.99                     0.10
                4123                    77.09                     0.11
                4124                    77.20                     0.11
                4125                    77.31                     0.10
                4126                    77.41                     0.11
                4127                    77.52                     0.11
                4128                    77.61                     0.10
                4129                    77.72                     0.11
                4130                    77.82                     0.10
                4131                    77.92                     0.10
                4132                    78.02                     0.10
                4133                    78.12                     0.11
                4134                    78.23                     0.10
                4135                    78.32                     0.09
                4136                    78.42                     0.10
                4137                    78.51                     0.10
                4138                    78.61                     0.10
                4139                    78.70                     0.09
                4140                    78.80                     0.09
                4141                    78.89                     0.09
                4142                    78.99                     0.10
                4143                    79.08                     0.10
                4144                    79.18                     0.09
                4145                    79.26                     0.09
                4146                    79.36                     0.09
                4147                    79.45                     0.09
                4148                    79.54                     0.09
                4149                    79.64                     0.10
                4150                    79.72                     0.08
                4151                    79.81                     0.09
                4152                    79.90                     0.09
                4153                    79.98                     0.08
                4154                    80.07                     0.09
                4155                    80.15                     0.08
                4156                    80.24                     0.08
                4157                    80.33                     0.09
                4158                    80.41                     0.09
                4159                    80.50                     0.09
                4160                    80.59                     0.09
                4161                    80.67                     0.08
                4162                    80.75                     0.09
                4163                    80.84                     0.09
                4164                    80.93                     0.08
                4165                    81.02                     0.09
                4166                    81.10                     0.08
                4167                    81.18                     0.08
                4168                    81.26                     0.08
                4169                    81.34                     0.08
                4170                    81.42                     0.08
                4171                    81.50                     0.08
                4172                    81.58                     0.08
                4173                    81.67                     0.08
