
------------------------------------------------------------------------------
Elevation report for the watershed      24 February 2025 20.50

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3812
  Maximum elevation: 5595
     Mean elevation: 4035.18
 Standard deviation: 226.04

              Elevation          % area up to elevation    % area of watershed
                5158                    99.86                     0.00
                5159                    99.86                     0.00
                5160                    99.87                     0.00
                5161                    99.87                     0.00
                5162                    99.87                     0.00
                5163                    99.87                     0.00
                5164                    99.87                     0.00
                5165                    99.87                     0.00
                5166                    99.87                     0.00
                5167                    99.87                     0.00
                5168                    99.87                     0.00
                5169                    99.88                     0.00
                5170                    99.88                     0.00
                5171                    99.88                     0.00
                5172                    99.88                     0.00
                5173                    99.88                     0.00
                5174                    99.88                     0.00
                5175                    99.88                     0.00
                5176                    99.88                     0.00
                5177                    99.88                     0.00
                5178                    99.89                     0.00
                5179                    99.89                     0.00
                5180                    99.89                     0.00
                5181                    99.89                     0.00
                5182                    99.89                     0.00
                5183                    99.89                     0.00
                5184                    99.89                     0.00
                5185                    99.89                     0.00
                5186                    99.89                     0.00
                5187                    99.90                     0.00
                5188                    99.90                     0.00
                5189                    99.90                     0.00
                5190                    99.90                     0.00
                5191                    99.90                     0.00
                5192                    99.90                     0.00
                5193                    99.90                     0.00
                5194                    99.90                     0.00
                5195                    99.90                     0.00
                5196                    99.91                     0.00
                5197                    99.91                     0.00
                5198                    99.91                     0.00
                5199                    99.91                     0.00
                5200                    99.91                     0.00
                5201                    99.91                     0.00
                5202                    99.91                     0.00
                5203                    99.91                     0.00
                5204                    99.92                     0.00
                5205                    99.92                     0.00
                5206                    99.92                     0.00
                5207                    99.92                     0.00
                5208                    99.92                     0.00
                5209                    99.92                     0.00
                5210                    99.92                     0.00
                5211                    99.92                     0.00
                5212                    99.92                     0.00
                5213                    99.92                     0.00
                5214                    99.92                     0.00
                5215                    99.92                     0.00
                5216                    99.92                     0.00
                5217                    99.93                     0.00
                5218                    99.93                     0.00
                5219                    99.93                     0.00
                5220                    99.93                     0.00
                5221                    99.93                     0.00
                5222                    99.93                     0.00
                5223                    99.93                     0.00
                5224                    99.93                     0.00
                5225                    99.93                     0.00
                5226                    99.93                     0.00
                5227                    99.93                     0.00
                5228                    99.93                     0.00
                5229                    99.93                     0.00
                5230                    99.94                     0.00
                5231                    99.94                     0.00
                5232                    99.94                     0.00
                5233                    99.94                     0.00
                5234                    99.94                     0.00
                5235                    99.94                     0.00
                5236                    99.94                     0.00
                5237                    99.94                     0.00
                5238                    99.94                     0.00
                5239                    99.94                     0.00
                5240                    99.94                     0.00
                5241                    99.94                     0.00
                5242                    99.94                     0.00
                5243                    99.94                     0.00
                5244                    99.94                     0.00
                5245                    99.94                     0.00
                5246                    99.94                     0.00
                5247                    99.94                     0.00
                5248                    99.94                     0.00
                5249                    99.94                     0.00
                5250                    99.95                     0.00
                5251                    99.95                     0.00
                5252                    99.95                     0.00
                5253                    99.95                     0.00
                5254                    99.95                     0.00
                5255                    99.95                     0.00
                5256                    99.95                     0.00
                5257                    99.95                     0.00
                5258                    99.95                     0.00
                5259                    99.95                     0.00
                5260                    99.95                     0.00
                5261                    99.95                     0.00
                5262                    99.96                     0.00
                5263                    99.96                     0.00
                5264                    99.96                     0.00
                5265                    99.96                     0.00
                5266                    99.96                     0.00
                5267                    99.96                     0.00
                5268                    99.96                     0.00
                5269                    99.96                     0.00
                5270                    99.96                     0.00
                5271                    99.96                     0.00
                5272                    99.96                     0.00
                5273                    99.96                     0.00
                5274                    99.96                     0.00
                5275                    99.96                     0.00
                5276                    99.96                     0.00
                5277                    99.96                     0.00
                5278                    99.96                     0.00
                5279                    99.96                     0.00
                5280                    99.96                     0.00
                5281                    99.97                     0.00
                5282                    99.97                     0.00
                5283                    99.97                     0.00
                5284                    99.97                     0.00
                5285                    99.97                     0.00
                5286                    99.97                     0.00
                5287                    99.97                     0.00
                5288                    99.97                     0.00
                5289                    99.97                     0.00
                5290                    99.97                     0.00
                5291                    99.97                     0.00
                5292                    99.97                     0.00
                5293                    99.97                     0.00
                5294                    99.97                     0.00
                5295                    99.97                     0.00
                5296                    99.97                     0.00
                5297                    99.97                     0.00
                5298                    99.97                     0.00
                5299                    99.97                     0.00
                5300                    99.97                     0.00
                5301                    99.97                     0.00
                5302                    99.97                     0.00
                5303                    99.97                     0.00
                5304                    99.97                     0.00
                5305                    99.97                     0.00
                5306                    99.97                     0.00
                5307                    99.97                     0.00
                5308                    99.97                     0.00
                5309                    99.97                     0.00
                5310                    99.97                     0.00
                5311                    99.97                     0.00
                5312                    99.98                     0.00
                5313                    99.98                     0.00
                5314                    99.98                     0.00
                5315                    99.98                     0.00
                5316                    99.98                     0.00
                5317                    99.98                     0.00
                5318                    99.98                     0.00
                5319                    99.98                     0.00
                5320                    99.98                     0.00
                5321                    99.98                     0.00
                5322                    99.98                     0.00
                5323                    99.98                     0.00
                5324                    99.98                     0.00
                5325                    99.98                     0.00
                5326                    99.98                     0.00
                5327                    99.98                     0.00
                5328                    99.98                     0.00
                5329                    99.98                     0.00
                5330                    99.98                     0.00
                5331                    99.98                     0.00
                5332                    99.98                     0.00
                5333                    99.98                     0.00
                5334                    99.98                     0.00
                5335                    99.98                     0.00
                5336                    99.98                     0.00
                5337                    99.98                     0.00
                5338                    99.98                     0.00
                5339                    99.98                     0.00
                5340                    99.98                     0.00
                5341                    99.98                     0.00
                5342                    99.98                     0.00
                5343                    99.98                     0.00
                5344                    99.98                     0.00
                5345                    99.98                     0.00
                5346                    99.98                     0.00
                5347                    99.98                     0.00
                5348                    99.98                     0.00
                5349                    99.98                     0.00
                5350                    99.98                     0.00
                5351                    99.98                     0.00
                5352                    99.98                     0.00
                5353                    99.98                     0.00
                5354                    99.98                     0.00
                5355                    99.99                     0.00
                5356                    99.99                     0.00
                5357                    99.99                     0.00
                5358                    99.99                     0.00
                5359                    99.99                     0.00
                5360                    99.99                     0.00
                5361                    99.99                     0.00
                5362                    99.99                     0.00
                5363                    99.99                     0.00
                5364                    99.99                     0.00
                5365                    99.99                     0.00
                5366                    99.99                     0.00
                5367                    99.99                     0.00
                5368                    99.99                     0.00
                5369                    99.99                     0.00
                5370                    99.99                     0.00
                5371                    99.99                     0.00
                5372                    99.99                     0.00
                5373                    99.99                     0.00
                5374                    99.99                     0.00
                5375                    99.99                     0.00
                5376                    99.99                     0.00
                5377                    99.99                     0.00
                5378                    99.99                     0.00
                5379                    99.99                     0.00
                5380                    99.99                     0.00
                5381                    99.99                     0.00
                5382                    99.99                     0.00
                5383                    99.99                     0.00
                5384                    99.99                     0.00
                5385                    99.99                     0.00
                5386                    99.99                     0.00
                5387                    99.99                     0.00
                5388                    99.99                     0.00
                5389                    99.99                     0.00
                5390                    99.99                     0.00
                5391                    99.99                     0.00
                5392                    99.99                     0.00
                5393                    99.99                     0.00
                5394                    99.99                     0.00
                5395                    99.99                     0.00
                5396                    99.99                     0.00
                5397                    99.99                     0.00
                5398                    99.99                     0.00
                5399                    99.99                     0.00
                5400                    99.99                     0.00
                5401                    99.99                     0.00
                5402                    99.99                     0.00
                5403                    99.99                     0.00
                5404                    99.99                     0.00
                5405                    99.99                     0.00
                5406                    99.99                     0.00
                5407                    99.99                     0.00
                5408                    99.99                     0.00
                5409                    99.99                     0.00
                5410                    99.99                     0.00
                5411                    99.99                     0.00
                5412                    99.99                     0.00
                5413                    99.99                     0.00
                5414                    99.99                     0.00
                5415                    99.99                     0.00
                5416                    99.99                     0.00
                5417                    99.99                     0.00
                5418                    99.99                     0.00
                5419                    99.99                     0.00
                5420                    99.99                     0.00
                5421                    99.99                     0.00
                5422                    99.99                     0.00
                5423                    99.99                     0.00
                5424                    99.99                     0.00
                5425                    99.99                     0.00
                5426                    99.99                     0.00
                5427                    99.99                     0.00
                5428                    99.99                     0.00
                5429                    99.99                     0.00
                5430                    99.99                     0.00
                5431                    99.99                     0.00
                5432                    99.99                     0.00
                5433                    99.99                     0.00
                5434                    99.99                     0.00
                5435                    99.99                     0.00
                5436                    99.99                     0.00
                5437                    99.99                     0.00
                5438                    99.99                     0.00
                5439                    99.99                     0.00
                5440                    99.99                     0.00
                5441                    99.99                     0.00
                5442                    99.99                     0.00
                5443                    99.99                     0.00
                5444                    99.99                     0.00
                5445                    99.99                     0.00
                5446                    99.99                     0.00
                5447                    99.99                     0.00
                5448                    99.99                     0.00
                5449                    99.99                     0.00
                5450                    99.99                     0.00
                5451                    99.99                     0.00
                5452                    99.99                     0.00
                5453                    99.99                     0.00
                5454                    99.99                     0.00
                5455                    99.99                     0.00
                5456                    99.99                     0.00
                5457                    99.99                     0.00
                5458                    99.99                     0.00
                5459                    99.99                     0.00
                5460                    99.99                     0.00
                5461                   100.00                     0.00
                5462                   100.00                     0.00
                5463                   100.00                     0.00
                5464                   100.00                     0.00
                5465                   100.00                     0.00
                5466                   100.00                     0.00
                5467                   100.00                     0.00
                5468                   100.00                     0.00
                5469                   100.00                     0.00
                5470                   100.00                     0.00
                5471                   100.00                     0.00
                5472                   100.00                     0.00
                5473                   100.00                     0.00
                5474                   100.00                     0.00
                5475                   100.00                     0.00
                5476                   100.00                     0.00
                5477                   100.00                     0.00
                5478                   100.00                     0.00
                5479                   100.00                     0.00
                5480                   100.00                     0.00
                5481                   100.00                     0.00
                5482                   100.00                     0.00
                5483                   100.00                     0.00
                5484                   100.00                     0.00
                5485                   100.00                     0.00
                5486                   100.00                     0.00
                5487                   100.00                     0.00
                5488                   100.00                     0.00
                5489                   100.00                     0.00
                5490                   100.00                     0.00
                5491                   100.00                     0.00
                5492                   100.00                     0.00
                5493                   100.00                     0.00
                5494                   100.00                     0.00
                5495                   100.00                     0.00
                5496                   100.00                     0.00
                5497                   100.00                     0.00
                5498                   100.00                     0.00
                5499                   100.00                     0.00
                5500                   100.00                     0.00
                5501                   100.00                     0.00
                5502                   100.00                     0.00
                5503                   100.00                     0.00
                5504                   100.00                     0.00
                5505                   100.00                     0.00
                5506                   100.00                     0.00
                5507                   100.00                     0.00
                5508                   100.00                     0.00
                5509                   100.00                     0.00
                5510                   100.00                     0.00
                5511                   100.00                     0.00
                5512                   100.00                     0.00
                5513                   100.00                     0.00
                5514                   100.00                     0.00
                5515                   100.00                     0.00
                5516                   100.00                     0.00
                5517                   100.00                     0.00
                5518                   100.00                     0.00
                5519                   100.00                     0.00
                5520                   100.00                     0.00
                5521                   100.00                     0.00
                5522                   100.00                     0.00
                5523                   100.00                     0.00
                5524                   100.00                     0.00
                5525                   100.00                     0.00
                5526                   100.00                     0.00
                5527                   100.00                     0.00
                5528                   100.00                     0.00
                5529                   100.00                     0.00
                5530                   100.00                     0.00
                5531                   100.00                     0.00
                5532                   100.00                     0.00
                5533                   100.00                     0.00
                5534                   100.00                     0.00
                5535                   100.00                     0.00
                5536                   100.00                     0.00
                5537                   100.00                     0.00
                5538                   100.00                     0.00
                5539                   100.00                     0.00
                5540                   100.00                     0.00
                5541                   100.00                     0.00
                5542                   100.00                     0.00
                5543                   100.00                     0.00
                5544                   100.00                     0.00
                5545                   100.00                     0.00
                5546                   100.00                     0.00
                5547                   100.00                     0.00
                5548                   100.00                     0.00
                5549                   100.00                     0.00
                5550                   100.00                     0.00
                5551                   100.00                     0.00
                5552                   100.00                     0.00
                5553                   100.00                     0.00
                5554                   100.00                     0.00
                5555                   100.00                     0.00
                5556                   100.00                     0.00
                5557                   100.00                     0.00
                5558                   100.00                     0.00
                5559                   100.00                     0.00
                5560                   100.00                     0.00
                5561                   100.00                     0.00
                5562                   100.00                     0.00
                5563                   100.00                     0.00
                5564                   100.00                     0.00
                5565                   100.00                     0.00
                5566                   100.00                     0.00
                5567                   100.00                     0.00
                5568                   100.00                     0.00
                5569                   100.00                     0.00
                5570                   100.00                     0.00
                5571                   100.00                     0.00
                5572                   100.00                     0.00
                5573                   100.00                     0.00
                5574                   100.00                     0.00
                5575                   100.00                     0.00
                5576                   100.00                     0.00
                5577                   100.00                     0.00
                5578                   100.00                     0.00
                5579                   100.00                     0.00
                5580                   100.00                     0.00
                5581                   100.00                     0.00
                5582                   100.00                     0.00
                5583                   100.00                     0.00
                5584                   100.00                     0.00
                5585                   100.00                     0.00
                5586                   100.00                     0.00
                5587                   100.00                     0.00
                5588                   100.00                     0.00
                5589                   100.00                     0.00
                5590                   100.00                     0.00
                5591                   100.00                     0.00
                5592                   100.00                     0.00
                5593                   100.00                     0.00
                5594                   100.00                     0.00
                5595                   100.00                     0.00

------------------------------------------------------------------------------
Subbasin 1

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3844
  Maximum elevation: 5595
     Mean elevation: 4387.72
 Standard deviation: 432.11

              Elevation          % area up to elevation    % area of subbasin
                3844                     0.04                     0.04
                3845                     0.10                     0.06
                3846                     0.15                     0.05
                3847                     0.21                     0.06
                3848                     0.30                     0.09
                3849                     0.35                     0.05
                3850                     0.39                     0.04
                3851                     0.46                     0.07
                3852                     0.52                     0.05
                3853                     0.59                     0.07
                3854                     0.65                     0.06
                3855                     0.72                     0.07
                3856                     0.82                     0.10
                3857                     0.94                     0.12
                3858                     1.11                     0.17
                3859                     1.35                     0.24
                3860                     1.68                     0.33
                3861                     1.95                     0.27
                3862                     2.12                     0.17
                3863                     2.31                     0.19
                3864                     2.48                     0.16
                3865                     2.59                     0.12
                3866                     2.71                     0.12
                3867                     2.88                     0.17
                3868                     3.04                     0.16
                3869                     3.19                     0.15
                3870                     3.37                     0.18
                3871                     3.54                     0.17
                3872                     3.68                     0.14
                3873                     3.82                     0.14
                3874                     3.97                     0.16
                3875                     4.23                     0.25
                3876                     4.41                     0.18
                3877                     4.67                     0.26
                3878                     4.91                     0.24
                3879                     5.14                     0.23
                3880                     5.42                     0.28
                3881                     5.70                     0.28
                3882                     6.06                     0.36
                3883                     6.56                     0.50
                3884                     7.12                     0.56
                3885                     7.62                     0.50
                3886                     8.04                     0.42
                3887                     8.44                     0.40
                3888                     8.84                     0.40
                3889                     9.18                     0.35
                3890                     9.61                     0.42
                3891                    10.00                     0.40
                3892                    10.49                     0.48
                3893                    10.99                     0.50
                3894                    11.69                     0.70
                3895                    12.34                     0.65
                3896                    12.93                     0.59
                3897                    13.57                     0.64
                3898                    14.31                     0.74
                3899                    15.01                     0.71
                3900                    15.75                     0.73
                3901                    16.39                     0.65
                3902                    16.98                     0.59
                3903                    17.37                     0.39
                3904                    17.84                     0.47
                3905                    18.24                     0.39
                3906                    18.68                     0.45
                3907                    19.17                     0.49
                3908                    19.64                     0.46
                3909                    20.08                     0.45
                3910                    20.49                     0.40
                3911                    20.82                     0.34
                3912                    21.16                     0.33
                3913                    21.48                     0.32
                3914                    21.81                     0.33
                3915                    22.08                     0.27
                3916                    22.34                     0.26
                3917                    22.69                     0.35
                3918                    22.97                     0.28
                3919                    23.26                     0.29
                3920                    23.51                     0.25
                3921                    23.88                     0.37
                3922                    24.13                     0.25
                3923                    24.36                     0.24
                3924                    24.57                     0.21
                3925                    24.74                     0.16
                3926                    24.89                     0.16
                3927                    25.07                     0.17
                3928                    25.25                     0.18
                3929                    25.46                     0.21
                3930                    25.62                     0.17
                3931                    25.76                     0.14
                3932                    25.97                     0.21
                3933                    26.15                     0.18
                3934                    26.33                     0.18
                3935                    26.51                     0.17
                3936                    26.69                     0.18
                3937                    26.86                     0.17
                3938                    27.00                     0.14
                3939                    27.13                     0.13
                3940                    27.30                     0.17
                3941                    27.43                     0.13
                3942                    27.62                     0.19
                3943                    27.73                     0.11
                3944                    27.84                     0.11
                3945                    27.93                     0.09
                3946                    28.06                     0.13
                3947                    28.21                     0.15
                3948                    28.36                     0.15
                3949                    28.48                     0.12
                3950                    28.65                     0.17
                3951                    28.78                     0.14
                3952                    28.97                     0.18
                3953                    29.11                     0.14
                3954                    29.25                     0.14
                3955                    29.34                     0.09
                3956                    29.53                     0.19
                3957                    29.64                     0.11
                3958                    29.80                     0.16
                3959                    29.96                     0.16
                3960                    30.09                     0.14
                3961                    30.22                     0.13
                3962                    30.31                     0.08
                3963                    30.41                     0.10
                3964                    30.56                     0.15
                3965                    30.69                     0.13
                3966                    30.78                     0.09
                3967                    30.90                     0.13
                3968                    31.03                     0.13
                3969                    31.18                     0.14
                3970                    31.27                     0.09
                3971                    31.38                     0.12
                3972                    31.54                     0.16
                3973                    31.68                     0.14
                3974                    31.80                     0.12
                3975                    31.91                     0.11
                3976                    31.97                     0.06
                3977                    32.03                     0.06
                3978                    32.11                     0.08
                3979                    32.23                     0.12
                3980                    32.32                     0.09
                3981                    32.40                     0.08
                3982                    32.55                     0.15
                3983                    32.67                     0.13
                3984                    32.79                     0.12
                3985                    32.86                     0.07
                3986                    32.94                     0.08
                3987                    33.06                     0.12
                3988                    33.17                     0.11
                3989                    33.27                     0.10
                3990                    33.35                     0.08
                3991                    33.47                     0.12
                3992                    33.57                     0.10
                3993                    33.63                     0.06
                3994                    33.74                     0.11
                3995                    33.85                     0.12
                3996                    33.97                     0.12
                3997                    34.05                     0.08
                3998                    34.14                     0.08
                3999                    34.19                     0.05
                4000                    34.30                     0.12
                4001                    34.37                     0.07
                4002                    34.45                     0.07
                4003                    34.53                     0.08
                4004                    34.62                     0.09
                4005                    34.72                     0.09
                4006                    34.82                     0.11
                4007                    34.91                     0.09
                4008                    34.98                     0.07
                4009                    35.08                     0.10
                4010                    35.20                     0.12
                4011                    35.29                     0.09
                4012                    35.38                     0.08
                4013                    35.43                     0.05
                4014                    35.52                     0.09
                4015                    35.60                     0.08
                4016                    35.69                     0.08
                4017                    35.75                     0.06
                4018                    35.85                     0.10
                4019                    35.93                     0.08
                4020                    36.02                     0.09
                4021                    36.11                     0.09
                4022                    36.18                     0.07
                4023                    36.26                     0.08
                4024                    36.40                     0.14
                4025                    36.46                     0.07
                4026                    36.54                     0.08
                4027                    36.62                     0.08
                4028                    36.71                     0.09
                4029                    36.79                     0.07
                4030                    36.86                     0.07
                4031                    36.99                     0.13
                4032                    37.09                     0.11
                4033                    37.19                     0.10
                4034                    37.29                     0.09
                4035                    37.39                     0.11
